t,S_p,I_p,I_v
0.0,97.0,2.0,4.0
1.0,98.5381609254473,1.1971782268257718,0.8578236227527287
2.0,98.22144831895075,1.6450818009019994,0.12870123398198352
3.0,98.71089020302384,1.2437279651489495,0.17234674743303158
4.0,99.17155039542052,0.7603874596712659,0.1356063174827607
5.0,97.97790389813896,1.9674578963566236,0.041846948376531634
6.0,99.73644479912626,0.25999695402585055,0.026261486382283008
7.0,99.75338898906656,0.22159350388190746,0.07381269256956764
8.0,99.84808434875198,0.14663210997066767,0.01698156155946081
9.0,99.74352748807094,0.24742055894808984,0.036338533707440786
10.0,99.71195168534594,0.2728177579624686,0.046113657150271166
11.0,99.71033399154351,0.28183360742766356,0.007165016510573142
12.0,99.82749243781096,0.1665628508321774,0.01355320256641863
13.0,99.69175411817191,0.2882082679443859,0.007244027594736567
14.0,99.86175054020362,0.13523572051855093,0.009462330783588397
15.0,99.94946586588698,0.04890336694426586,0.005293785006513393
16.0,99.96658589048975,0.03255533099891221,0.0052924679559939345
17.0,99.95073343865774,0.04755084443529454,0.006478360054407098
18.0,99.89657017968618,0.09965452414705304,0.008548616898434166
19.0,99.92739691367463,0.06649887528952528,0.03206923513985713
20.0,99.91896152081483,0.06740348851222971,0.019164865557147547
21.0,99.96684631978734,0.03215040699114596,0.005309019273252082
22.0,99.99224443414005,0.005478444001918622,0.00892135852350581
23.0,99.97814451474888,0.016844444590277556,0.006848539223835536
24.0,99.9954731495597,0.00342366568028876,0.011291812709321692
25.0,99.9692162482835,0.018165588000790198,0.017981647797946605
26.0,99.971586733554,0.019683116898547393,0.06152115351386759
27.0,99.94991597434888,0.03857720518347143,0.007277041426188341
28.0,99.98241800921026,0.016194120038487653,0.0033836458599282577
29.0,99.98769937137196,0.010122813492554967,0.0041316512361339675
30.0,99.98656153862063,0.011135920031325823,0.004799831437021766
31.0,99.99867284403328,0.0007178648761810821,0.007177041091034125
32.0,99.99745705487743,0.0013160563487260564,0.006476276084416176
33.0,99.99518488263126,0.0016334237903057743,0.01226888352303434
34.0,99.99683381838605,0.0006540276856503152,0.012299244527690233
35.0,99.98655337461608,0.0075468343148476485,0.009885076226366236
36.0,99.98995749132605,0.005308825879278557,0.013058627781812765
37.0,99.96323966567506,0.02259549446845484,0.009621682310353348
38.0,99.99019418023838,0.007103940381852404,0.019879726646933705
39.0,99.98837886276742,0.007841283306388884,0.005848021753467046
40.0,99.99215686869869,0.005888319780084594,0.003462787007373106
41.0,99.95336876494177,0.03643515468195824,0.011632998837172503
42.0,99.83047435346825,0.14780402698109907,0.010130207633520714
43.0,99.16586258283363,0.7927613597223881,0.006953047455855
44.0,99.91082982237776,0.088380764720461,0.003971524134959441
45.0,99.86600903240526,0.1301839643599939,0.008480631539041968
46.0,99.93652247220099,0.05910946423056127,0.013586236289419306
47.0,99.97111104096166,0.02663475144884528,0.008326543725464361
48.0,99.9583472709047,0.03078924839347167,0.04293026636617766
49.0,99.96200652899927,0.028006155789842866,0.03191545184387373
50.0,99.99362367277709,0.004922489986915319,0.010555854579699066
51.0,99.9975608218943,0.0015379357590427055,0.00939653075029715
52.0,99.99501573546964,0.0029757570431216507,0.01631392172033348
53.0,99.99068253868877,0.00480596466404302,0.012470321340627153
54.0,99.99528841039893,0.002203805117005176,0.014978639790429108
55.0,99.98644160236606,0.005549328085606519,0.009464270791991757
56.0,99.99069852883817,0.006574885127555008,0.011019631766900727
57.0,99.99210488229608,0.006343643958857664,0.006244770531678632
58.0,99.99302511245678,0.0035484600313287077,0.013330202228348294
59.0,99.99456204060697,0.0037082316873375764,0.004367683928045965
60.0,99.98760087453061,0.0043761399154099165,0.03418724033805635
61.0,99.98340055547254,0.009548237261627618,0.009408025124625026
62.0,99.99770138601487,0.0017260178587066388,0.0076710932229916455
63.0,99.99714047652851,0.0010650680787626806,0.01624877377469636
64.0,99.96337465419082,0.018205754253586514,0.01128856667950828
65.0,99.94649694915174,0.044771927014407395,0.024763832369530163
66.0,99.94253896966504,0.04840128679384567,0.02891714399361082
67.0,99.98247933650048,0.015361445614431882,0.011913275708984034
68.0,99.97871129441818,0.013874170623883813,0.010636719380252551
69.0,99.98938131623088,0.007242134743766695,0.003950256714361903
70.0,99.9963508278062,0.0026787724427871857,0.004787762624856574
71.0,99.99744146689858,0.0013167300637305938,0.0058896668789647725
72.0,99.99695072811733,0.0008597185130135378,0.009215793992696588
73.0,99.99737349850945,0.0012895505725499976,0.005460146725420714
74.0,99.99578981802418,0.0018690031486768492,0.01686895387902331
75.0,99.9934251328872,0.004580916777811755,0.00513296981848594
76.0,99.97830827711641,0.014248015187971995,0.014283885022849005
77.0,99.97879378166705,0.012708717460082196,0.011945875223709445
78.0,99.98751943522164,0.008523490153719874,0.014394389947778185
79.0,99.98186431392435,0.008041851522789559,0.053322645462047125
80.0,99.96723061542751,0.015457324641239556,0.04661319813528806
81.0,99.95268870028698,0.019954875399696106,0.14969700932061172
82.0,99.965171090678,0.018145056486979384,0.0359730931207905
83.0,99.99148079683148,0.0045961610435726235,0.026736025512628336
84.0,99.99245206125431,0.005426738375448066,0.00772240265699177
