t,Q05_S_p,Q25_S_p,Mean_S_p,Q75_S_p,Q95_S_p,Q05_I_p,Q25_I_p,Mean_I_p,Q75_I_p,Q95_I_p,Q05_I_v,Q25_I_v,Mean_I_v,Q75_I_v,Q95_I_v
0.0,19.0,19.0,19.0,19.0,19.0,80.0,80.0,80.0,80.0,80.0,4.0,4.0,4.0,4.0,4.0
1.0,2.3153927074679026,5.138465644171899,15.198908757648313,18.43981952693689,48.076970986313384,46.31545240102706,72.57888947760011,77.97108251485561,88.51626238863359,93.03977133920267,0.07873139402213601,0.20381985173897138,2.6999991799453817,1.5738683919264151,8.951016363030666
2.0,1.8036025050621332,5.492922703155685,18.414612447066727,23.090349266703587,61.85524128347952,35.088819485944384,70.58749879527527,77.26356541243608,90.71427329751236,95.96887502930673,0.045688726834756756,0.09791409283926952,3.1147942917808207,0.5716823436854738,5.812764306062787
3.0,1.480735531637163,4.657515475360133,20.71602691688061,24.492726233761065,83.70493896533115,12.337483862285703,70.84657863246845,76.33117530670799,93.6067792915777,97.55238931877078,0.04362968731319421,0.08707786958355038,3.6189752621152054,0.42173275576982616,1.7129199060782303
4.0,1.099998992552189,3.588216918425078,23.050755879540805,29.59363053480444,93.34724540674594,4.712995382448593,63.99315692094712,74.11534253716881,95.22082970209944,98.56540745234474,0.03474893394806005,0.08022857266305955,1.0180135422026337,0.38311404684597883,3.3938656103549265
5.0,1.310149756657766,3.2996640828994885,25.635942821740908,41.20189936979194,95.09480093845676,1.8257051711892007,53.58579010061482,71.73625015665068,95.40786485403004,98.37306305983587,0.039721241392549504,0.08528510673553438,0.8110190081899709,0.38768333410482414,1.968290576067992
6.0,0.9132445674897519,2.8820495102640953,27.86512227071734,47.718537272533304,97.76875337971572,0.5708096657419371,47.58090771549479,69.7202824705083,96.54486646001591,98.9071195853293,0.03715875172297256,0.08458363433553256,0.417112349283815,0.3808210163892371,1.2704828491563591
7.0,0.7911305791665922,2.6351585113828,30.063344271882915,58.79410321168317,96.71053640238618,0.6610400687289559,33.14724243758361,67.22143326289527,96.73725493684051,99.062077041513,0.03539259032423221,0.07927622754103243,0.41833269190999367,0.3178830435209784,1.4242822551541798
8.0,1.045385117619194,2.969612806643647,31.835616328524733,65.59971436977867,97.72139883049279,0.4971263770876893,25.725263806742937,65.55696772762148,96.28799018761798,98.74385650775942,0.03649122276494842,0.07512056612595439,0.3295925337033246,0.3268917504058829,0.9385146055152067
9.0,0.9870993464110766,2.819569830705485,34.004136966061516,75.80218174999914,98.04398950519247,0.28610326619237936,20.57550401186642,63.459363268514515,96.57560047719133,98.87411189797986,0.04033612344636355,0.07656299328982928,0.3793261960285959,0.28165019821143333,1.317982302463024
10.0,0.9419051129013426,2.797858165507976,35.23581981458237,77.80885316176683,98.55911250491137,0.29688962737438174,11.436415975261765,62.12487923221962,96.79231408067159,98.97900603994285,0.03187061715912011,0.07361532556468446,0.26198225321795704,0.2494704116978217,0.9604961314311944
11.0,0.8547152609748504,2.486551182607469,35.8157311832679,84.65156054727417,98.58337454557024,0.23793127576809198,8.032647718208933,61.49581440723583,96.99915857009604,98.906020619522,0.03792374495826187,0.07718490964876516,0.3191258605529967,0.29705763311766553,1.1167224000229077
12.0,0.7419628199767315,2.3706287665124237,36.92448611829547,85.83100386371471,98.38466079036594,0.17757674977690735,6.0695615156054235,60.36646443249892,97.17399115319205,99.06395891469809,0.03665829371735151,0.07317084041769102,1.057027942781822,0.30295384908703527,1.1911593836922303
13.0,0.7838596964634102,2.3522259104251595,38.56902751506511,88.32613786143645,98.6275523902772,0.177937309336429,4.226213671133462,58.40358195348527,97.25087847606007,99.1313013327975,0.036367970412362685,0.07421901392130448,0.46484384526963585,0.3017030910110536,0.9308531320215649
14.0,0.7634266695448081,2.432506382269013,38.97620502796428,88.75709990284655,98.96097257129152,0.12982401001950095,3.0107732692771028,57.40251414997683,97.30558673454311,99.11593174711402,0.030906259842528185,0.06856180461587846,0.3373814097463244,0.2438772781930149,1.0681526285121539
15.0,0.8218724537118909,2.3896237764604904,40.774023569724285,92.61254077040775,98.81928353240012,0.18340834255319963,2.0378274375106122,56.25662956505432,97.22455237305263,99.12097951121699,0.0380280047994252,0.0673711785795466,0.239899224401163,0.26097105767182954,0.7900149479441139
16.0,0.7395127041443199,2.2651152911526915,41.11507586541498,92.2440201856079,98.48049368259434,0.18306303037704447,2.0905726138767853,55.38254580904172,97.45854055609027,99.08552041968545,0.033804021441361576,0.0727647955772963,0.3774513843599869,0.3406564503023548,1.6147837300083692
17.0,0.6952289737055247,2.5290051663434276,42.32855870025179,92.90158710884454,98.98706658408125,0.10989887084794933,1.7458545347231604,54.39521314901556,97.08577527570716,99.14208569142721,0.035984908785307954,0.07623790396382751,0.4928516009979106,0.356821844767266,1.335627574640746
18.0,0.7115805036050983,2.269203900765868,42.78905197118654,92.04913713618427,98.60772136301371,0.13994882901996655,1.4206337636487607,53.570989310699666,97.48662177391599,99.11824233252214,0.03416269038116321,0.07179466330583775,0.5492437174713444,0.29954919554597464,1.127967634526849
19.0,0.7479083395932675,2.479810915850558,43.21981472379076,93.99519707465207,98.68304643797093,0.14357869074614857,1.4732022280694117,53.13044749919403,97.2016143692684,98.99042365255995,0.03757227684869025,0.07368058386211178,0.5043284787018067,0.3084047494109722,2.128078030145828
20.0,0.7612995825150034,2.64151364058727,43.91408254698612,92.7217309965609,98.56849521913419,0.15662492031931266,1.6099104777061868,52.17645994334008,96.83683752407933,99.0601729759141,0.04281768441716218,0.08128739622552417,0.8581677276403301,0.29894439259514116,1.2140801817169842
21.0,0.7904290571807604,2.6101024555988084,44.95727158781112,93.62499133323692,98.69348039001365,0.12754251230687594,1.8026357255333527,51.114734059527855,96.8891818431119,98.98016101554266,0.04054784807575202,0.07399303269933309,0.5410661155393506,0.2590323046337109,1.7853299926876842
22.0,0.8101989274226733,2.7943154573186217,45.34035074621697,95.42247843381405,98.60196192622534,0.1357461440959065,1.1080440830649294,50.863768084598675,96.81276255970653,99.0166319192118,0.037940430633747774,0.08052372191502474,0.4658383171231863,0.3117499092361293,1.4335971046918612
23.0,0.7867410131144028,3.299794164171658,45.713511753297915,93.52051543942399,99.05826872601564,0.09979756694391191,1.3648370512404848,50.124442976728396,96.17017135463163,99.05605161409152,0.03834201353610571,0.07394090266958064,0.36377507422011407,0.2677873465008684,1.3923251226562678
