t,S_p,L_p,I_p,S_v,I_v
22.0,-1.7064767924181441e13,1.5956652879797639e13,1.1081150444826482e12,-3.584618559308856e11,-1.5254838200037844e12
23.0,-1.801713916679122e13,1.6844199408080979e13,1.1729397588094055e12,-3.771779924946678e11,-1.6062720861522012e12
24.0,-1.8990420656285324e13,1.7750049065286285e13,1.2403715910985383e12,-3.957236199278434e11,-1.686003925376545e12
25.0,-1.996107911725879e13,1.8653442424305598e13,1.307636693053165e12,-4.1426679911769574e11,-1.7657162530073655e12
26.0,-2.091939390692128e13,1.9545292686169258e13,1.374101220850381e12,-4.3280778206366205e11,-1.845407498747406e12
27.0,-2.187247848499958e13,2.0432256934412086e13,1.4402215506870647e12,-4.513508753714833e11,-1.9251131365302478e12
28.0,-2.2767557351724188e13,2.126525380085525e13,1.5023035509693745e12,-4.699326341163877e11,-2.0051799599187256e12
29.0,-2.3570678222900766e13,2.2012157916794152e13,1.5585203062050347e12,-4.8864130656916925e11,-2.086240044901117e12
30.0,-2.444605228523175e13,2.2825613110687555e13,1.6204391746408132e12,-5.073748723339183e11,-2.1675203871628237e12
31.0,-2.5373740470386727e13,2.36880176059862e13,1.685722864498029e12,-5.2625243369682697e11,-2.25007709905564e12
32.0,-2.6300692908826652e13,2.4549723522019406e13,1.7509693869041047e12,-5.451317789381823e11,-2.332645219023763e12
33.0,-2.7226449493220727e13,2.5410293698266605e13,1.816155795050826e12,-5.640140543403281e11,-2.415232067107721e12
34.0,-2.8168473428692082e13,2.6286351554378047e13,1.88212187441278e12,-5.829580461459082e11,-2.4982420724729155e12
35.0,-2.9121073256747152e13,2.7172478456473785e13,1.9485948003698777e12,-6.019421817538512e11,-2.581527323091973e12
36.0,-3.0065235969529457e13,2.8050721869579277e13,2.0145141000468445e12,-6.209227314281454e11,-2.664791715796931e12
37.0,-3.1008586294458355e13,2.8928206202065336e13,2.0803800924917883e12,-6.399029358222358e11,-2.7480541001476523e12
38.0,-3.1951926014483254e13,2.9805680864710773e13,2.1462451498695671e12,-6.58883147182238e11,-2.8313165249643975e12
39.0,-3.2895256678809336e13,3.068314726926086e13,2.212109409645694e12,-6.778633644552255e11,-2.9145789841152607e12
40.0,-3.3838293249777777e13,3.1560343346661547e13,2.2779499032135815e12,-6.968437179073098e11,-2.9978423959841963e12
41.0,-3.4747787050361492e13,3.240599442341505e13,2.341792627042634e12,-7.158099143050109e11,-3.0810143801379277e12
42.0,-3.563396423626251e13,3.3229708282546203e13,2.404255953813709e12,-7.347658820845079e11,-3.164120197591681e12
43.0,-3.651986771568702e13,3.4053239405512867e13,2.4666283102720977e12,-7.537039937457961e11,-3.2470988152250776e12
44.0,-3.740876002444804e13,3.4879601080054184e13,2.529158944490146e12,-7.726399092526086e11,-3.330062383537828e12
45.0,-3.829765233320801e13,3.570596275459703e13,2.591689578706986e12,-7.915758247594242e11,-3.413025951850626e12
46.0,-3.918654464196649e13,3.65323244291407e13,2.6542202129260234e12,-8.105117402662164e11,-3.4959895201633755e12
47.0,-4.007545478462835e13,3.735870302662931e13,2.7167517580973745e12,-8.29447670852134e11,-3.5789531893793657e12
48.0,-4.096437972027281e13,3.818509566147364e13,2.779284058895931e12,-8.483836139459531e11,-3.661916942293115e12
49.0,-4.185329717356417e13,3.901148121919211e13,2.841815954468377e12,-8.673195563991598e11,-3.7448806905629414e12
50.0,-4.274219008927133e13,3.9837843574660125e13,2.9043465147092974e12,-8.862554945596001e11,-3.8278444090477036e12
