t,S_p,I_p,I_v
0.0,97.0,2.0,4.0
1.0,4.183029685607617,29.53835951474739,3.3875337589322374
2.0,5.757294315788645,39.15799045961757,2.7932479099821372
3.0,8.060980797389725,42.0581072072321,2.184815016692119
4.0,11.158582443130657,42.607421530509214,1.6348882921899697
5.0,14.660879565962965,42.27815753599033,1.198904714832667
6.0,19.387723448832986,41.43298557156331,0.8688774270707591
7.0,23.773949463666487,40.3354205018035,0.6550290669973552
8.0,29.080154257188916,38.950462290869375,0.4892085424422387
9.0,33.73873042116169,37.36806170495311,0.39079856288881837
10.0,38.131372346719814,35.73398528207326,0.3070201534526585
11.0,41.87487878666936,34.02326471845001,0.25791856743734426
12.0,44.23279671065249,32.44771588861645,0.21845020776221752
13.0,46.13065565113041,30.888311158467964,0.19928003904264877
14.0,47.54884827051225,29.724100706645046,0.17900979932242023
15.0,48.60280603957534,28.63633514251501,0.17094550366270975
16.0,49.683369159764545,27.92236168207879,0.1626573175537635
17.0,50.13548350196991,27.263527542140594,0.15537200636049317
18.0,50.23664365592019,26.98009449252528,0.1534320817942757
19.0,50.90672834285563,26.695936560871903,0.15175475562692878
20.0,51.52213867085123,26.26860796786387,0.15181139392689624
21.0,51.31012588893968,26.18235208911168,0.15173368444396276
22.0,51.3796623709508,26.17978857249519,0.15105902081405892
23.0,51.75403066848307,26.03897391965645,0.14721506429597256
24.0,51.87416757759689,26.16377000282555,0.15125345866424714
25.0,51.60881997095318,26.203200918028347,0.1484263238207154
26.0,51.46959743329201,26.128547753917005,0.14844468075534673
27.0,52.07057355582471,26.20420711871722,0.1487717741241116
28.0,51.783824577416866,26.025131793499988,0.14795115098788542
29.0,51.840703527853364,26.158352531777105,0.14854012963529917
30.0,51.53443231479262,26.04569500979361,0.14845703368164392
31.0,52.07232875839038,26.077231471982188,0.1514600669219083
32.0,52.26005390114135,26.103709472521864,0.14981003934991927
33.0,51.606703650880036,26.134464301119564,0.15083868451022978
34.0,51.70501493699352,26.208898038784405,0.1495170930487606
35.0,51.70324855626422,26.15979609540909,0.1508690721894198
36.0,51.63713592599843,26.011431300900533,0.14916353577648325
37.0,52.04414983171968,26.125761233924102,0.14734070185953752
38.0,52.08037075072147,26.137280158301856,0.146914048770893
39.0,51.78696152155049,25.929900289205158,0.14637594673054155
40.0,52.14037038458108,25.893858846016453,0.14702835550144847
41.0,52.199218390180604,26.000900571707707,0.14644490990600517
42.0,52.07615582807448,25.9867197381218,0.1465839645016108
43.0,51.93516552003695,26.082779656009663,0.14902600259895116
44.0,51.77903198115327,26.083956123559688,0.1482575550117778
45.0,52.049055786994344,26.075130017084867,0.14884405056188793
46.0,51.89875801178013,26.098149749093423,0.14890143342327336
47.0,51.583089514087845,26.03791161982349,0.15023289040969415
48.0,51.95846858731557,25.967743898703716,0.14772592155594771
49.0,51.94386499494541,26.01999454703806,0.15055004255544951
50.0,51.92697734664185,26.15874209723184,0.15062528899326533
