t,S_p,I_p,I_v
0.0,97.0,2.0,4.0
1.0,2.4330805782220892,29.133283037486635,1.918204198570682
2.0,2.7215396902682274,38.1374953839201,1.2449777903730004
3.0,3.1283991472137735,40.181165955642605,0.8018259881022043
4.0,3.948824691350039,39.464588258457944,0.5457614622677104
5.0,5.027767943267209,37.86560891263356,0.36539343227158205
6.0,6.414159022023784,35.81822054975828,0.2494857442236935
7.0,8.312486969884828,33.215155672042236,0.19052852634150375
8.0,10.868250309529397,30.503280047858077,0.15290681770832348
9.0,13.384667789462858,28.105760089745793,0.1212536414900367
10.0,16.368142645642056,26.085465039834332,0.11088592011005358
11.0,19.555893255779434,24.54131741888239,0.09899835139399288
12.0,22.64987927665535,23.12000203281882,0.09348309825578671
13.0,25.54605433291025,22.103911646881205,0.08902841642701853
14.0,27.58089386476439,21.512293256413944,0.0866853549262118
15.0,30.830897345779366,21.214890698660383,0.08669833290015957
16.0,31.520773472988793,20.87332258037031,0.08467164914995397
17.0,32.44690420977792,20.506032771380948,0.08539863010707206
18.0,34.11197717969174,20.527981556802004,0.08101085538855868
19.0,34.35992615012798,20.240669747798155,0.08147546415470838
20.0,35.00721416114102,20.027418207114547,0.07983356669260654
21.0,34.81467483122703,19.94626358433564,0.0811094834964233
22.0,34.983921810597536,19.909473286853984,0.07900582499963028
23.0,34.867456238506264,19.67109014649485,0.07820416247211551
24.0,35.37873380711234,19.517036102130845,0.07936831077233272
25.0,34.57593576736872,19.681007699320645,0.07902414147205054
26.0,34.54854406639277,19.607205676935404,0.07798374965168098
27.0,34.61682699963064,19.44320169800492,0.07949107474933077
28.0,34.31804872203032,19.597431785182447,0.07931376821408995
29.0,34.67953266586685,19.552922337115497,0.0785985360190263
30.0,34.64591396788971,19.68970136617617,0.07838333686425861
31.0,34.555853123753096,19.572134765575253,0.07957438943830597
32.0,34.74600067186671,19.664034033613053,0.07941396566678005
33.0,34.131000152241185,19.503317648933496,0.08032364962805402
34.0,34.86794640119884,19.639912328455694,0.07888526151960908
35.0,35.006024262393105,19.701714208456035,0.07976352154087353
36.0,35.210370111979174,19.707186854282075,0.07875364367796439
37.0,35.35143812560754,19.725793537344128,0.07855723613888459
38.0,34.914818358893875,19.65900077799087,0.07686391895228546
39.0,35.34550092683216,19.25598882503446,0.07833596905777201
40.0,34.75527925396208,19.571761970034032,0.07607613421456322
41.0,35.82147438450141,19.59379073745225,0.07780601551481474
42.0,35.46812263215978,19.4947259223877,0.07840709939651481
43.0,35.24023578025096,19.555503554941094,0.07841360296171096
44.0,34.807939077020706,19.64103605989508,0.07952245151406984
45.0,34.41624673957386,19.455586342872827,0.07814053141945608
46.0,34.82486081034085,19.60104738882678,0.08012692333149611
47.0,35.28650639528956,19.44189324758604,0.07888155596516987
48.0,35.1838563386129,19.477822911558672,0.07782178975015515
49.0,34.39211816623275,19.440288513082937,0.07873234868068649
50.0,34.353271568488154,19.43495833883763,0.07861040583804893
